district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Dubrajpur,Birbhum,23.79761,87.37376,null,null,null,null,null,null
Vasai Virar,Maharashtra,19.40571,72.82835,null,null,null,null,null,null
Shrigonda,Ahmednagar,18.61204,74.69954,null,null,null,null,null,null
Agra,Sikandra,27.21304,77.9584,null,null,null,null,null,null
Vashi,Maharashtra,19.07446,72.99492,null,null,null,null,null,null
Sanpada,Maharashtra,19.25792,72.98393,null,null,null,null,null,null
Moothakunnam,Kerala,10.18067,76.2057,null,null,null,null,null,null
Bahraich,Uttar Pradesh,27.57336,81.59868,null,null,27.6,67.7,5.2,48.8
Rahata,Maharashtra,19.70962,74.47934,null,null,null,null,null,null
Lakshmeshwar,Karnataka,16.2828,75.00728,null,null,null,null,null,null
Barwani,Madhya Pradesh,22.02953,74.8969,null,null,6.6,85.1,10.4,58.4
Valasaravakkam,Chennai,13.04152,80.17383,null,null,null,null,null,null
Beliaghata,West Bengal,22.55924,88.4057,null,null,null,null,null,null
Andheri,Maharashtra,19.13471,72.82277,null,null,null,null,null,null
Hindaun,Rajasthan,26.80887,77.02545,null,null,null,null,null,null
Cherpulassery,Palakkad,10.87902,76.31221,null,null,null,null,null,null
Bagalkot,Karnataka,16.17986,75.69254,null,null,5.8,95.2,31.0,48.0
